Comment,Designator,Footprint,LCSC
22pF,"C0,C1",Capacitor_SMD:C_1206_3216Metric,C107174
1μF,"C2,C14,C18",Capacitor_SMD:C_1206_3216Metric,C1848
0.1μF,"C3,C4,C5,C8,C9,C11,C13,C15,C17,C19",Capacitor_SMD:C_1206_3216Metric,C24497
10μF,"C6,C10,C12,C16,C20",Capacitor_SMD:C_1206_3216Metric,C13585
4.7μF,"C7,C21",Capacitor_SMD:C_1206_3216Metric,C29823
D,"D00_00,D00_01,D00_02,D00_03,D00_04,D00_05,D00_06,D01_00,D01_01,D01_02,D01_03,D01_04,D01_05,D01_06,D02_00,D02_01,D02_02,D02_03,D02_04,D02_05,D02_06,D03_00,D03_01,D03_02,D03_03,D03_04,D03_05,D03_06,D04_00,D04_01,D04_02,D04_03,D04_04,D04_05,D04_06,D05_00,D05_01,D05_02,D05_03,D05_04,D05_05,D05_06,D06_00,D06_01,D06_02,D06_03,D06_04,D06_05,D06_06,D07_00,D07_01,D07_02,D07_03,D07_04,D07_05,D07_06,D08_00,D08_01,D08_02,D08_03,D08_04,D08_05,D08_06,D09_00,D09_01,D09_02,D09_03,D09_04,D09_05,D09_06",random-keyboard-parts:D_SOD-123-Pretty,C81598
ESD5Z5V0,ESDD0,Diode_SMD:D_SOD-523,C502546
SMD0805-050-16V,F0,Fuse:Fuse_1206_3216Metric,C2833485
USB_C_Receptacle_USB2.0,J0,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
22,"R0,R1",Resistor_SMD:R_1206_3216Metric,C17958
63.4K,R10,Resistor_SMD:R_1206_3216Metric,C45027
52.3k,R11,Resistor_SMD:R_1206_3216Metric,C247238
30.1k,R12,Resistor_SMD:R_1206_3216Metric,C425547
1M,R13,Resistor_SMD:R_1206_3216Metric,C17927
10k,"R2,R5,R6",Resistor_SMD:R_1206_3216Metric,C17928
5.1k,"R3,R4",Resistor_SMD:R_1206_3216Metric,C964991
39,R7,Resistor_SMD:R_1206_3216Metric,C286655
37.4k,R9,Resistor_SMD:R_1206_3216Metric,C247280
TS-1187A-B-A-B,RESET_SW0,TS-1187A-B-A-B:SW_TS-1187A-B-A-B,C318884
ATmega32U4-M,U0,Package_DFN_QFN:QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
TPS73601DBV,"U2,U3",Package_TO_SOT_SMD:SOT-23-5,C59200
TPD4E05U06DQAR,U4,TPD4E05U06DQAR:USON-10_L2.5-W1.0-P0.50-BL,C2836386
16Mhz,Y0,X322516MLB4SI:OSC-SMD_4P-L3.2-W2.5-BL,C13738
