Designator,Mid X,Mid Y,Layer,Rotation
C0,283.325,-255.25,bottom,180
C1,283.325,-261.7,bottom,180
C2,289.875,-260.55,bottom,270
C3,293.7,-260.5,bottom,270
C4,297.45,-260.5,bottom,270
C5,301.275,-260.5,bottom,270
C6,304.95,-260.55,bottom,270
C7,437.875,-206.975,bottom,270
C8,441.675,-206.95,bottom,270
C9,441.65,-212.65,bottom,90
C10,445.45,-212.65,bottom,90
C11,438.05,-195.7,bottom,90
C12,434.2,-195.65,bottom,90
C13,308.7,-260.55,bottom,270
C14,312.45,-260.5,bottom,270
C15,434.125,-207,bottom,270
C16,437.9,-212.575,bottom,90
C17,316.275,-260.5,bottom,270
C18,320.225,-260.475,bottom,270
C19,438.075,-184.525,bottom,270
C20,430.35,-195.7,bottom,90
C21,321.3,-160.025,bottom,90
D00_00,153.925,-176.05,bottom,90
D00_01,173,-176.075,bottom,90
D00_02,192.075,-176.075,bottom,90
D00_03,211.125,-176.05,bottom,90
D00_04,230.15,-176.05,bottom,90
D00_05,249.225,-176.025,bottom,90
D00_06,268.25,-176.05,bottom,90
D01_00,158.7,-195.1,bottom,90
D01_01,182.525,-195.1,bottom,90
D01_02,201.575,-195.1,bottom,90
D01_03,220.6,-195.1,bottom,90
D01_04,239.65,-195.1,bottom,90
D01_05,258.675,-195.1,bottom,90
D01_06,277.775,-195.1,bottom,90
D02_00,146.275,-214.175,bottom,90
D02_01,187.275,-214.125,bottom,90
D02_02,206.325,-214.15,bottom,90
D02_03,225.35,-214.125,bottom,90
D02_04,244.425,-214.125,bottom,90
D02_05,263.475,-214.125,bottom,90
D02_06,282.525,-214.15,bottom,90
D03_00,141.725,-233.2,bottom,90
D03_01,162.375,-233.275,bottom,90
D03_02,196.8,-233.2,bottom,90
D03_03,215.85,-233.175,bottom,90
D03_04,234.925,-233.2,bottom,90
D03_05,253.975,-233.175,bottom,90
D03_06,273.025,-233.2,bottom,90
D04_00,156.325,-252.25,bottom,90
D04_01,180.125,-252.225,bottom,90
D04_02,203.95,-252.25,bottom,90
D04_03,237.25,-252.225,bottom,90
D04_04,258.925,-252.225,bottom,90
D04_05,297.025,-252.2,bottom,90
D04_06,346.8,-251.725,bottom,90
D05_00,385.725,-176.025,bottom,90
D05_01,381.75,-176.075,bottom,90
D05_02,363.5,-176.075,bottom,90
D05_03,344.45,-176.05,bottom,90
D05_04,325.375,-176.025,bottom,90
D05_05,306.325,-176.025,bottom,90
D05_06,287.3,-176.05,bottom,90
D06_00,418.55,-197.7,bottom,90
D06_01,392.075,-195.125,bottom,90
D06_02,373,-195.075,bottom,90
D06_03,353.95,-195.1,bottom,90
D06_04,334.875,-195.075,bottom,90
D06_05,315.875,-195.1,bottom,90
D06_06,296.775,-195.075,bottom,90
D07_00,408.75,-214.225,bottom,90
D07_01,393.35,-214.125,bottom,90
D07_02,377.75,-214.15,bottom,90
D07_03,358.725,-214.15,bottom,90
D07_04,339.675,-214.15,bottom,90
D07_05,320.625,-214.15,bottom,90
D07_06,301.575,-214.125,bottom,90
D08_00,404.825,-233.2,bottom,90
D08_01,400.975,-233.175,bottom,90
D08_02,368.2,-233.2,bottom,90
D08_03,349.2,-233.175,bottom,90
D08_04,330.15,-233.2,bottom,90
D08_05,311.1,-233.2,bottom,90
D08_06,292.025,-233.15,bottom,90
D09_00,423.225,-178.625,bottom,90
D09_01,444.45,-233.2,bottom,90
D09_02,463.525,-251.75,bottom,90
D09_03,444.475,-251.725,bottom,90
D09_04,425.425,-251.75,bottom,90
D09_05,394.45,-251.75,bottom,90
D09_06,370.625,-251.625,bottom,90
ESDD0,310.525,-161.1,bottom,90
F0,313.925,-160.025,bottom,270
J0,302.85,-158.525,bottom,180
R0,326.175,-241.05,bottom,90
R1,329.55,-241.05,bottom,90
R2,277.55,-260.575,bottom,90
R3,292.575,-159.575,bottom,270
R4,325.075,-160.05,bottom,270
R5,331,-254.075,bottom,90
R6,438.1,-190.175,bottom,270
R7,449.25,-212.6,bottom,270
R9,430.325,-206.925,bottom,270
R10,430.375,-201.425,bottom,90
R11,434.175,-184.575,bottom,270
R12,430.35,-184.625,bottom,270
R13,317.725,-160.05,bottom,90
RESET_SW0,327.9875,-247.2,bottom,0
U0,282.475,-245.775,bottom,270
U1,447.3,-194.775,bottom,270
U2,434.2,-201.45,bottom,0
U3,434.2,-190.125,bottom,0
U4,296,-160.45,bottom,90
Y0,283.3,-258.4,bottom,0
LED00,435.575,-167.625,bottom,270
LED01,441.475,-167.625,bottom,270
LED02,447.325,-167.65,bottom,270
LED03,453.175,-167.625,bottom,270
LED04,459.05,-167.625,bottom,270
RE0,460.125,-221.1,bottom,270
REF**,402.85,-209.49945,bottom,0
SW00_00,148.1,-171.425,bottom,0
SW00_01,167.15,-171.425,bottom,0
SW00_02,186.225,-171.425,bottom,0
SW00_03,205.275,-171.4,bottom,0
SW00_04,224.3,-171.4,bottom,0
SW00_05,243.35,-171.4,bottom,0
SW00_06,262.4,-171.4,bottom,0
SW01_00,152.875,-190.475,bottom,0
SW01_01,176.675,-190.475,bottom,0
SW01_02,195.75,-190.475,bottom,0
SW01_03,214.775,-190.45,bottom,0
SW01_04,233.8,-190.45,bottom,0
SW01_05,252.85,-190.45,bottom,0
SW01_06,271.9,-190.45,bottom,0
SW02_01,181.425,-209.5,bottom,0
SW02_02,200.475,-209.5,bottom,0
SW02_03,219.5,-209.5,bottom,0
SW02_04,238.55,-209.5,bottom,0
SW02_05,257.6,-209.5,bottom,0
SW02_06,276.65,-209.5,bottom,0
SW03_00,150.475,-228.55,bottom,180
SW03_02,190.95,-228.55,bottom,0
SW03_03,210,-228.55,bottom,0
SW03_04,229.075,-228.55,bottom,0
SW03_05,248.125,-228.55,bottom,0
SW03_06,267.175,-228.55,bottom,0
SW04_00,150.475,-247.6,bottom,0
SW04_01,174.3,-247.6,bottom,0
SW04_02,198.1,-247.6,bottom,0
SW04_03,231.435,-247.605,bottom,0
SW04_05,302.875,-247.6,bottom,0
SW04_06,340.955,-247.625,bottom,0
SW05_01,376.675,-171.4,bottom,0
SW05_02,357.65,-171.4,bottom,0
SW05_03,338.6,-171.4,bottom,0
SW05_04,319.55,-171.4,bottom,0
SW05_05,300.5,-171.4,bottom,0
SW05_06,281.45,-171.4,bottom,0
SW06_00,410.025,-190.45,bottom,270
SW06_01,386.225,-190.45,bottom,0
SW06_02,367.175,-190.45,bottom,0
SW06_03,348.1,-190.45,bottom,0
SW06_04,329.05,-190.45,bottom,0
SW06_05,310,-190.45,bottom,0
SW06_06,290.95,-190.45,bottom,0
SW07_01,390.975,-209.5,bottom,90
SW07_02,371.9,-209.5,bottom,0
SW07_03,352.85,-209.5,bottom,0
SW07_04,333.8,-209.5,bottom,0
SW07_05,314.75,-209.5,bottom,0
SW07_06,295.7,-209.5,bottom,0
SW08_00,414.8,-228.55,bottom,180
SW08_02,362.375,-228.575,bottom,0
SW08_03,343.35,-228.55,bottom,0
SW08_04,324.3,-228.55,bottom,0
SW08_05,305.25,-228.55,bottom,0
SW08_06,286.2,-228.55,bottom,0
SW09_00,414.775,-171.4,bottom,180
SW09_01,438.6,-228.55,bottom,0
SW09_02,457.65,-247.6,bottom,0
SW09_03,438.6,-247.6,bottom,0
SW09_04,419.55,-247.6,bottom,0
SW09_05,388.6,-247.6,bottom,0
SW09_06,364.76,-247.615,bottom,0
SWBS_L00,405.25,-171.40055,bottom,0
SWBS_S00,395.725,-171.4,bottom,180
SWCL_N00,155.225,-209.5,bottom,180
SWCL_S00,150.475,-209.5,bottom,0
SWET_AN00,402.875,-209.5,bottom,90
SWET_IS00,412.425,-199.975,bottom,90
SWLS_L01,159.975,-228.55,bottom,0
SWLS_S01,171.9,-228.55,bottom,180
SWRS_L01,398.075,-228.55,bottom,0
SWRS_S01,388.6,-228.575,bottom,180
SWSP_L04,269.525,-247.59945,bottom,180
SWSP_S04,264.775,-247.6,bottom,0
